longitude;latitude;shopDescription;sunusng;ipom;weiwei
-1.44417;49.04928;[Orange] 50 Coutances (4 Rue Saint-Nicolas);0;1;7
-1.09415;49.11442;[Orange] 50 Saint-Lô (23 Rue Torteron);5;10;2
-0.29341;49.16539;[Orange] 14 Mondeville (CC Carrefour ,Route de Paris);8;5;2
-0.36163;49.18203;[Orange] 14 Caen (29 Boulevard du Maréchal Leclerc);6;4;3
-0.36453;49.18252;[Orange] 14 Caen (8 Rue de Bras);3;1;3
-0.70697;49.27863;[Orange] 14 Bayeux (74 bis Rue de Saint-Malo);7;10;8
-1.59872;49.60262;[Orange] 50 La Glacerie (CC Auchan Cotentin);3;7;1
-1.62529;49.63958;[Orange] 50 Cherbourg-Octeville (11 Rue Albert Mahieu);0;8;1
2.18816;43.58860;[Orange] 81 Castres (Centre Ccial Auchan);9;7;0
1.48423;43.63160;[Orange] 31 Balma-Gramont (CC Occitian);1;9;7
0.16669;44.49999;[Orange] 47 Marmande (2-16 Rue Charles de Gaulle);5;5;2
0.10516;45.61913;[Orange] 16 La Couronne (CC Auchan ,Route de Bordeaux);7;4;4
0.18269;45.69298;[Orange] 16 Champniers (CC Géant ,ZAC Les Montagnes);6;4;4
0.37344;46.57546;[Orange] 86 Poitiers (CC Géant Beaulieu);3;9;4
0.34309;46.58253;[Orange] 86 Poitiers (18 Rue du Marché Notre-Dame);10;6;7
0.37000;46.66609;[Orange] 86 Chasseneuil-du-Poitou (CC Auchan ,N10);0;3;8
0.54508;46.81716;[Orange] 86 Châtellerault (73 Boulevard de Blossac);9;10;8
0.21711;47.97375;[Orange] 72 Le Mans (CC Carrefour Centre Sud);7;10;2
0.19619;48.00369;[Orange] 72 Le Mans (25 Place de la République);3;9;5
0.19874;48.00641;[Orange] 72 Le Mans (CC Les Jacobins ,13 Rue Blondeau);8;5;1
0.17457;48.04227;[Orange] 72 La Chapelle Saint-Aubin (CC Auchan);6;10;9
0.65275;48.18692;[Orange] 72 La Ferté-Bernard (14 Rue Denfert-Rochereau);4;6;2
0.08787;48.43100;[Orange] 61 Alençon (4 Rue du Jeudi);7;9;3
0.06151;48.43330;[Orange] 61 Condé-sur-Sarthe (CC Carrefour);5;2;6
1.82345;48.64428;[Orange] 78 Rambouillet (Rue du Général de Gaulle);7;7;5
2.17206;48.67639;[Orange] 91 Les Ulis (CC Les Ulis 2);1;1;9
2.25333;48.70441;[Orange] 91 Villebon-sur-Yvette (CC Villebon 2);6;10;2
0.62584;48.76374;[Orange] 61 L’Aigle (29 bis Rue Bec Ham);4;6;7
2.22137;48.78192;[Orange] 78 Vélizy-Villacoublay;10;9;8
2.04437;48.78310;[Orange] 78 Montigny-le-Bretonneux (Espace Saint-Quentin);9;7;4
2.13087;48.80618;[Orange] 78 Versailles (Rue au Pain);7;0;4
2.25183;48.82057;[Orange] 92 Issy-les-Moulineaux (CC Les Trois Moulins);0;9;0
2.11767;48.82658;[Orange] 78 Le Chesnay (CC Parly 2);7;7;1
1.96079;48.82893;[Orange] 78 Plaisir (Grand Plaisir);7;4;4
0.07895;49.35980;[Orange] 14 Deauville (32 Rue Désiré Le Hoc);0;3;5
0.10932;49.52168;[Orange] 76 Le Havre (CC Auchan Grand-Cap);7;3;0
0.10943;49.49367;[Orange] 76 Le Havre (62 Place de l’Hôtel de Ville);0;3;4
0.11085;49.49588;[Orange] 76 Le Havre (22 Rue Casimir Perier);7;2;0
0.18997;49.52672;[Orange] 76 Montivilliers (CC Auchan La Lézarde);0;9;7
0.22439;49.14521;[Orange] 14 Lisieux (4 Rue des Mathurins);9;5;8
0.22587;49.50762;[Orange] 76 Gonfreville-L’Orcher (CC Leclerc L’Océane);7;5;9
0.51521;49.35604;[Orange] 27 Pont-Audemer (28 Rue de la République);10;2;0
0.75287;49.61798;[Orange] 76 Yvetot (26 bis Rue des Victoires);5;6;2
0.96711;49.53664;[Orange] 76 Barentin (CC Carrefour Le Mesnil Roux);8;6;3
1.00539;49.28973;[Orange] 76 Elbeuf (154 Rue Charles Mouchel);5;0;8
1.07516;49.92398;[Orange] 76 Dieppe (16 Rue Victor Hugo);2;9;3
1.07822;49.90939;[Orange] 76 Dieppe (CC Auchan Belvedère);0;10;8
1.09087;49.44306;[Orange] 76 Rouen (4 Rue Guillaume Le Conquérant);6;8;3
1.09309;49.47128;[Orange] 76 Mont-Saint-Aignan (CC Carrefour La Vatine);6;10;9
1.09632;49.32904;[Orange] 76 Tourville-la-Rivière (CC Carrefour);6;6;10
1.14687;49.02603;[Orange] 27 Evreux (23 Rue du Docteur Oursel);6;0;4
1.16734;49.21087;[Orange] 27 Louviers (31 Rue du Général de Gaulle);6;5;2
1.17293;49.01361;[Orange] 27 Evreux (CC Carrefour);6;5;3
1.42064;50.05123;[Orange] 76 Eu (35 Rue Charles Morin);5;0;8
1.48567;49.09194;[Orange] 27 Vernon (21 Rue Saint-Jacques);10;2;2
1.68522;48.98065;[Orange] 78 Buchelay (Centre Commercial Porte de Normandie);10;3;4
2.03394;48.90908;[Orange] 78 Chambourcy (CC Carrefour);4;5;0
2.14470;48.92792;[Orange] 78 Montesson (CC Carrefour);7;1;5
2.19686;48.94633;[Orange] 78 Sartrouville (CC Carrefour de Sartrouville);1;5;7
2.23732;48.89079;[Orange] 92 Puteaux (CC Quatre-Temps);10;8;8
5.78407;43.83176;[Orange] 04 Manosque (Boulevard de La Plaine);4;3;2
5.06200;43.93070;[Orange] 84 L'Isle sur la Sorgue (CC La Rode);5;9;0
5.69335;45.14975;[Orange] 38 Echirolles (CC Comboire);0;2;3
5.73229;45.15825;[Orange] 38 Grenoble (CC Grand-Place);8;7;10
3.42285;46.12616;[Orange] 03 Vichy;2;3;10
7.74695;48.58286;[Orange] 67 Strasbourg (10 Rue des Grandes Arcades);9;4;0
7.74472;48.58362;[Orange] 67 Strasbourg (Place Kléber);6;6;6
2.45066;48.58404;[Orange] 91 Villabé (CC Villabé);10;5;0
7.75763;48.58469;[Orange] 67 Strasbourg (26 Avenue de la Marseillaise);3;3;4
2.30432;48.58524;[Orange] 91 Brétigny-sur-Orge (CC Auchan);9;10;6
7.74234;48.58577;[Orange] 67 Strasbourg (24 Place des Halles);1;6;0
2.42603;48.62863;[Orange] 91 Évry (CC Evry 2);8;1;9
2.37316;48.71151;[Orange] 91 Athis-Mons (CC Carrefour);1;5;2
2.27702;48.72561;[Orange] 91 Massy (Centre Commercial Cora);6;9;10
2.30307;48.75372;[Orange] 92 Antony (13 Rue Auguste Mounié);9;10;7
2.37166;48.75569;[Orange] 94 Thias (CC Belle Epine);6;9;0
2.60899;48.77678;[Orange] 77 Pontault-Combault (CC Régional);7;2;0
2.29172;48.77849;[Orange] 92 Sceaux (Rue Houdan);0;2;7
2.45641;48.77861;[Orange] 94 Créteil (CC Créteil Soleil);4;3;2
2.31450;48.77943;[Orange] 92 Bourg-la-Reine (Rue René Roeckel);10;0;4
2.31381;48.80572;[Orange] 92 Bagneux (Avenue Henri Ravera);3;3;3
2.32914;48.81119;[Orange] 94 Arcueil (CC de la Vache Noire);2;8;9
2.36253;48.81150;[Orange] 94 Le Kremlin-Bicêtre (CC Okabé);2;1;8
2.31948;48.81805;[Orange] 92 Montrouge (Avenue de la République);10;1;8
2.35547;48.82843;[Orange] 75 Paris 13 (CC Italie2);9;1;8
2.32941;48.83034;[Orange] 75 Paris 14 (39 Avenue du Général Leclerc);0;7;1
2.29011;48.91041;[Orange] 92 Asnières-sur-Seine (2 Rue Pierre Brossolette);10;9;1
2.29044;48.87930;[Orange] 75 Paris 17 (69 Avenue des Ternes);8;6;9
2.29788;48.87247;[Orange] 75 Paris 08 (125 Avenue des Champs-Elysées);7;5;10
2.30617;48.96989;[Orange] 95 Enghien-les-Bains (Rue du Général de Gaulle);5;8;3
2.32286;48.84281;[Orange] 75 Paris 15 (CC Maine-Montparnasse);10;9;0
2.33309;48.88404;[Orange] 75 Paris 18 (2 Rue Lepic);6;10;5
2.33369;48.87271;[Orange] 75 Paris 09 (23 Boulevard Haussmann);9;3;2
2.33965;48.85241;[Orange] 75 Paris 06 (126 Boulevard Saint-Germain);7;4;4
2.34083;49.04029;[Orange] 95 Moisselles (CC Domont-Moisselles);9;3;4
2.34331;48.87590;[Orange] 75 Paris 09 (61 Rue La Fayette);9;6;8
2.35840;48.85598;[Orange] 75 Paris 04 (20 Rue de Rivoli);3;2;1
2.36349;48.86695;[Orange] 75 Paris 03 (13 Place de la République);2;8;0
2.36850;48.85443;[Orange] 75 Paris 04 (9 Boulevard Beaumarchais);8;7;10
2.37218;48.85220;[Orange] 75 Paris 12 (40 Rue du Faubourg Saint-Antoine);0;1;5
2.37518;48.90308;[Orange] 93 Aubervilliers (CC Le Millénaire);8;3;4
2.37647;48.85106;[Orange] 75 Paris 12 (100 Rue du Faubourg Saint-Antoine);7;7;6
2.39393;48.84010;[Orange] 75 Paris 12 (Avenue Daumesnil);8;6;3
2.42152;48.91944;[Orange] 93 Drancy (CC Avenir);2;4;3
2.44711;48.90632;[Orange] 93 Bobigny (CC Bobigny2);1;5;5
2.47716;48.88423;[Orange] 93 Rosny-sous-Bois (CC Rosny 2);2;5;3
2.48384;48.83710;[Orange] 94 Nogent-sur-Marne;2;0;10
2.54565;48.84044;[Orange] 93 Noisy-le-Grand (CC Arcades);9;1;6
2.54585;48.83876;[Orange] 93 Noisy-le-Grand;6;6;1
2.66120;48.83766;[Orange] 77 Collégien (CC Bay 2);6;2;2
2.66210;48.94633;[Orange] 77 Claye-Souilly (CC Carrefour);1;2;0
2.92385;49.93940;[Orange] 80 Péronne (CC Intermarché);6;10;2
5.04043;43.83586;[Orange] 84 Cavaillon;4;9;5
5.39947;43.87658;[Orange] 84 Apt (246 Quai Général Leclerc);3;3;3
4.80634;43.94871;[Orange] 84 Avignon (3 Rue des Marchands);6;9;5
5.03791;44.04971;[Orange] 84 Carpentras (463 Avenue Frédéric Mistral);7;9;5
5.05376;44.05592;[Orange] 84 Carpentras (67 Avenue du Mont Ventoux);3;0;2
4.86383;43.95914;[Orange] 84 Le Pontet (CC Avignon Nord);6;8;1
4.86576;43.92146;[Orange] 84 Avignon (CC Mistral 7);5;7;3
4.81003;44.13738;[Orange] 84 Orange (19 Rue de la République);9;3;9
4.83599;43.92861;[Orange] 84 Avignon (CC Cap Sud);0;2;4
2.23855;48.89199;[Orange] 92 Puteaux (Hall RER);5;5;10
-3.46181;48.73205;[Orange] 22 Lannion (Quai d'Aiguillon ,Près de la Poste);1;2;2
-2.75994;48.51365;[Orange nv] 22 Saint-Brieuc (16 Rue Saint-Guillaume);6;5;2
-2.51445;48.46921;[Orange] 22 Lamballe (15 Rue du Val);5;8;0
-2.01331;48.63428;[Orange] 35 Saint-Malo (63 Rue ville Pépin);0;10;4
-1.68094;48.10652;[Orange] 35 Rennes (22 Rue Tronjolly);9;1;10
-1.63332;48.13058;[Orange] 35 Rennes (CC Intermarché Long-Champs ,Allée Morvan Lebesque);1;6;7
-1.71425;48.10412;[Orange] 35 Rennes (CC Leclerc Cleunay);9;6;8
-1.20047;48.35292;[Orange] 35 Fougères (6 Boulevard Jean Jaurès);9;2;0
-2.7591;47.65903;[Orange] 56 Vannes (23 Rue Joseph le Brix);8;5;3
